Dataset,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Balanced Accuracy,MCC
Cardiovascular,Random Forest,0.7207009857612268,0.7289081885856079,0.6935222074664306,0.7107750472589792,0.7824799119242623,0.764697285944191,0.7204240120882313,0.44157682781531515
Cardiovascular,CatBoost,0.7350127783862723,0.7588815789473684,0.6808322266489597,0.7177413082367582,0.8033494921836323,0.7885539383144563,0.7344606348624967,0.4718698297567964
Diabetes,Gradient Boosting,0.8111994770672186,0.4084538375973304,0.5231514460749395,0.45874195764882253,0.8105367904654486,0.4224101831257446,0.6931787686182909,0.35038487138588603
Diabetes,XGBoost,0.3992156008279769,0.20002918855808524,0.9763499073942157,0.3320332372392742,0.8108537098626116,0.42808343937126336,0.6356824133122946,0.2245200291955994
Heart Disease,XGBoost,0.4414343843157734,0.15271001360815162,0.9700611427366646,0.26387933012158754,0.826749799703805,0.3456796601633584,0.6753299841892184,0.2245069322312206
Heart Disease,LightGBM,0.8846965641795591,0.3691148775894539,0.16529622601728863,0.22833843017329256,0.7856507429413975,0.2822403099899218,0.5663915011777131,0.19240376936763243
