group,n,prevalence,predicted_positive_rate,accuracy,balanced_accuracy,precision,recall_tpr,specificity_tnr,fpr,roc_auc,delta_recall_vs_overall,delta_pos_rate_vs_overall
Heart_Indicators,50966,0.09365066907349998,0.09365066907349998,1.0,1.0,1.0,1.0,1.0,0.0,0.9999999999999999,0.0006899113729236239,-0.07025919652162266
Diabetes_Indicators,50494,0.13930367964510634,0.13930367964510634,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0006899113729236239,-0.02460618595001629
Cardiovascular,14012,0.502141021981159,0.5081358835284042,0.9921495860690837,0.9921237713906462,0.986376404494382,0.998152359295054,0.9860951834862385,0.013904816513761468,0.9970619644188994,-0.0011577293320224058,0.34422601793328156
