group,n,prevalence,predicted_positive_rate,accuracy,balanced_accuracy,precision,recall_tpr,specificity_tnr,fpr,roc_auc,delta_recall_vs_overall,delta_pos_rate_vs_overall
Female,110500,0.14752036199095023,0.1478733031674208,0.999447963800905,0.999397201787984,0.9969400244798041,0.9993251947733268,0.9994692088026412,0.000530791197358783,0.9999647810711574,1.5106146250443153e-05,-0.016036562427701823
Male,4972,0.5112630732099759,0.5203137570394207,0.9901448109412712,0.9899358270763114,0.9818322381136452,0.999213217938631,0.9806584362139917,0.01934156378600823,0.9965242364490551,-9.687068844532742e-05,0.35640389144429807
